gen,evals,repeated,bestfit,worstfit,meanfit,maxsize,minsize,meansize,betterCxChild,worseCxChild
0,100.000000,8.033333,3.643208,868670830.302721,8691283.287935,127.000000,3.000000,28.069333,0.000000,0.000000
1,89.100000,15.533333,3.604779,82599.177847,941.525428,125.133333,1.000000,20.051333,0.300000,89.900000
2,73.300000,22.300000,3.606283,650198.693203,6598.004534,114.733333,1.000000,20.504667,1.800000,87.666667
3,67.533333,26.566667,3.624239,573349.707256,5790.567002,113.666667,1.000000,24.044000,10.766667,79.500000
4,69.400000,22.366667,3.612982,1131933.948415,11448.187941,111.466667,1.000000,30.018667,10.333333,79.466667
5,73.900000,17.433333,3.615628,1843076.607402,21738.236200,113.266667,1.000000,35.673333,7.366667,83.700000
6,75.666667,13.866667,3.609176,604705.572407,7958.649638,112.800000,1.066667,40.844667,4.033333,85.366667
7,76.900000,11.300000,3.601718,11870709.538075,125845.367665,110.933333,1.133333,45.255333,3.533333,86.133333
8,76.266667,10.500000,3.591803,35232055.505175,352540.163729,112.000000,1.666667,47.580667,1.900000,87.433333
9,77.500000,9.666667,3.607831,522194.346091,5885.934274,109.866667,1.800000,49.978667,2.333333,87.000000
10,78.766667,8.033333,3.596198,122520.310651,1350.753530,112.266667,1.266667,50.708667,2.700000,88.166667
11,77.966667,9.333333,3.573004,184969826.677397,1856294.264555,112.600000,1.466667,51.103333,3.733333,85.866667
12,78.600000,9.166667,3.576622,33253199.616213,333150.323266,107.533333,1.800000,50.806000,5.133333,85.466667
13,77.466667,8.633333,3.594247,28516154.765815,403757.673154,107.333333,1.733333,50.921333,3.300000,86.966667
14,77.966667,9.700000,3.563601,6318074.536653,64395.401955,105.266667,2.066667,50.444667,4.300000,87.300000
15,76.666667,9.100000,3.558272,2837186.489170,30626.543190,105.400000,1.333333,50.768000,4.800000,84.933333
16,76.900000,9.000000,3.559789,23290961.599663,232999.986682,107.066667,2.333333,49.867333,3.733333,86.200000
17,77.833333,8.800000,3.569814,57938092.523085,579517.955376,105.266667,1.800000,49.574667,3.500000,86.833333
18,75.933333,9.333333,3.558117,132984.949048,1360.005547,104.533333,1.666667,49.160667,4.733333,85.866667
19,77.300000,8.600000,3.533146,44433.721407,569.868577,102.733333,2.066667,48.768000,3.833333,87.233333
20,77.400000,9.066667,3.538925,2446083.267597,24907.505287,101.333333,2.533333,48.847333,4.100000,87.166667
21,76.266667,9.966667,3.537729,780739.531674,8451.742755,97.666667,3.800000,48.740667,5.133333,86.600000
22,74.733333,10.766667,3.515234,7417336.664304,75429.053530,103.266667,4.133333,48.966667,3.466667,85.533333
23,76.166667,10.733333,3.506044,65887882.432116,665887.415825,93.400000,3.333333,48.393333,4.100000,85.966667
24,74.866667,10.566667,3.491664,441020862.409171,4410547.808894,92.733333,3.066667,48.151333,4.400000,84.533333
25,77.633333,9.533333,3.503635,2069086.515890,24743.522678,89.533333,2.800000,47.717333,3.900000,87.966667
26,75.533333,9.766667,3.482221,2228672.315358,23061.201927,92.400000,3.933333,47.376667,5.066667,85.666667
27,75.666667,9.966667,3.485685,445242387.553327,4651002.399995,90.533333,3.266667,46.899333,3.800000,86.666667
28,75.666667,11.133333,3.484176,939428800.396079,9402845.813462,87.866667,3.466667,47.268667,4.466667,85.666667
29,76.200000,10.733333,3.469494,15912.006929,194.187026,93.266667,2.533333,47.115333,2.366667,87.500000
30,74.800000,10.533333,3.472913,595290631.916603,6644996.259775,92.666667,3.800000,47.056000,3.666667,85.933333
31,73.000000,11.400000,3.478152,297800.187289,3501.004054,94.133333,3.200000,46.850000,3.733333,85.133333
32,74.833333,10.900000,3.475391,13819.705078,160.944435,91.400000,3.133333,46.422667,2.900000,87.433333
33,75.100000,11.900000,3.473838,91757967.415964,919497.578721,85.466667,2.600000,46.038667,3.200000,87.133333
34,75.066667,11.800000,3.462154,1412523.168798,24627.661728,82.733333,4.000000,46.475333,2.233333,86.366667
35,75.233333,10.200000,3.461076,1223061168.051673,12258144.383155,81.333333,4.066667,46.514667,4.233333,85.500000
36,74.900000,10.533333,3.465719,14422346.535347,146875.037915,77.800000,4.666667,45.822000,4.633333,85.833333
37,76.033333,10.600000,3.453140,281059.863623,3474.353779,82.266667,3.800000,45.642000,3.833333,86.766667
38,75.700000,11.466667,3.438222,11741092.774659,118480.146601,79.333333,2.066667,45.406667,3.533333,86.933333
39,74.033333,10.933333,3.439911,436860.723579,4459.445318,82.000000,2.800000,45.372000,2.633333,88.033333
40,73.600000,11.300000,3.445796,4856587.262514,49037.917600,87.600000,2.933333,45.301333,4.066667,85.800000
